"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","Eagle-12BH212P-GR:Untitled",""
"2","C1, C2","2","100nF","Capacitor_SMD:C_1206_3216Metric",""
"3","C3","1","10uF","Capacitor_SMD:C_1206_3216Metric",""
"4","D1","1","LED","LED_SMD:LED_1206_3216Metric",""
"5","J1","1","12V in","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"6","J2","1","12V out","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"7","J3","1","UPDI Connector","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"8","J4","1","RPI Signal (OK)","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"9","J5","1","Serial Connector","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"10","J6","1","RPI Signal","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"11","R1","1","4,7k","Resistor_SMD:R_1206_3216Metric",""
"12","R2","1","1k87","Resistor_SMD:R_1206_3216Metric",""
"13","R3","1","100k","Resistor_SMD:R_1206_3216Metric",""
"14","R5","1","7,5k","Resistor_SMD:R_1206_3216Metric",""
"15","SW1","1","SW_DPDT_x2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"16","U1","1","ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"17","U2","1","ISP772T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"18","U3","1","Optocoupler","Package_DIP:DIP-4_W7.62mm",""
